1790 184139
1800 211149
1810 245562
1820 277575
1830 320823
1840 373306
1850 489555
1860 672035
1870 906096
1880 1131116
1890 1444933
1900 1883669
1910 2537167
1920 3155900
1930 4041334
1940 4160165
1950 4835329
1960 6066782
1970 7171112
1980 7365011
1990 7730188
2000 8414350
2010 8791894
